Barrio_Localidad,CANTIDAD_HURTOS,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,TP27_PERSO,TP9_1_USO,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,Num_Colegios,Num_Cai,Distancia_CAI
TECHO-KENNEDY,98,14,15,9,13,11,18,18,6161.0,2608.0,2.0,95.0,40.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,93.9962247198051
TEJAR-PUENTE ARANDA,83,6,15,10,17,12,11,12,2711.0,881.0,1.0,13.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,407.9753164781093
TEJARES DEL NORTE-SUBA,16,3,2,2,2,0,5,2,1419.0,509.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.6669478122063
TELECOM ARRAYANES-SUBA,4,0,0,1,1,0,1,1,4378.0,1180.0,4.0,22.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,709.4632394707683
TENERIFE II SECTOR-USME,1,0,0,0,0,0,0,1,1272.0,418.0,6.0,14.0,25.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1037.8762205561477
TENERIFE-USME,13,1,2,2,3,3,1,1,3292.0,1042.0,5.0,52.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,841.540994424449
TEQUENDAMA-USME,3,0,1,1,1,0,0,0,920.0,311.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,407.10535263343417
TERRAZAS DE SAN ANGEL-USAQUÉN,2,0,0,0,2,0,0,0,435.0,133.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.6837107847105
TERRAZAS DE SAN JORGE-RAFAEL URIBE,4,0,0,0,0,0,3,1,827.0,216.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,721.4827443854101
TEUSA-SUBA,6,2,1,0,0,1,1,1,825.0,257.0,1.0,13.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,536.9763276334756
TEUSAQUILLO DE SUBA-SUBA,17,1,3,2,2,5,3,1,664.0,216.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.1803680803562
TEUSAQUILLO-TEUSAQUILLO,2075,213,311,223,294,294,342,398,2632.0,1280.0,10.0,179.0,194.0,0.0,64.0,5.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,118.96406653014316
TIBABITA-USAQUÉN,82,8,10,7,9,15,21,12,2633.0,983.0,1.0,55.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,813.6104038635057
TIBABUYES I SECTOR-SUBA,17,2,3,2,3,2,4,1,3981.0,1452.0,12.0,72.0,32.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,871.1985589077672
TIBABUYES-SUBA,199,15,24,29,21,38,37,35,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.8015480761646
TIBANA-PUENTE ARANDA,50,3,5,7,10,11,8,6,3100.0,1158.0,2.0,40.0,39.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,925.5744104928535
TIHUAQUE-USME,12,3,5,0,1,1,0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.602864002386
TIMIZA-KENNEDY,226,29,31,27,29,40,44,26,14282.0,4817.0,6.0,59.0,31.0,1.0,13.0,2.0,6.0,0.0,0.0,5.0,1.0,6.0,0.0,641.0537245001053
