Barrio_Localidad,Cantidad,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,Coordenadas
AEROPUERTO EL DORADO-FONTIBÓN,421,57,62,50,64,63,50,75,"[[[[-74.150392001, 4.714028402999986], [-74.14697863999999, 4.711582298999985], [-74.14686819899998, 4.711629049000009], [-74.14687059300002, 4.711631097000008], [-74.146798821, 4.711648798999988], [-74.14679872599999, 4.711648821999972], [-74.14572440900002, 4.710843178999994], [-74.14512320099999, 4.710392323999997], [-74.14424567399999, 4.709728336000012], [-74.143726964, 4.709335846999977], [-74.14306230199998, 4.708832921999999], [-74.14243481900002, 4.708358130000021], [-74.14220980300001, 4.708187866999992], [-74.141393547, 4.707570234000002], [-74.141389404, 4.707567098000026], [-74.13969633699998, 4.706285875999981], [-74.13889853, 4.705682135000017], [-74.13845867999999, 4.705349278000028], [-74.13787439700002, 4.704907118999983], [-74.13722690899999, 4.704417128999978], [-74.13719417599998, 4.704392344999973], [-74.13693873, 4.704198937000001], [-74.136066933, 4.703538863999995], [-74.13100741699998, 4.699710148000008], [-74.12294680399998, 4.693610233000015], [-74.12264090899998, 4.693443060999982], [-74.12233439099998, 4.693275947000017], [-74.12198400199998, 4.693084914999985], [-74.12198411700001, 4.693084704999989], [-74.12199603900001, 4.693063165000012], [-74.122037852, 4.693002361000026], [-74.12247230600002, 4.692430285], [-74.12158897900002, 4.69176881300001], [-74.12273494599998, 4.690198545999976], [-74.12383991399997, 4.691025206999995], [-74.12475738799998, 4.689747861], [-74.123858434, 4.6891467730000045], [-74.124030328, 4.688922771000022], [-74.12549388299999, 4.687012121999998], [-74.12559988999999, 4.686873568999999], [-74.12593555500001, 4.687091517999988], [-74.12601389299999, 4.68714229599999], [-74.126315444, 4.686726565000014], [-74.126402165, 4.686606937000021], [-74.126631003, 4.686280608000004], [-74.126711312, 4.68634586600001], [-74.127050564, 4.686612540999988], [-74.12898705700002, 4.688040698999998], [-74.129372907, 4.68832517200002], [-74.12944997900001, 4.6883819529999755], [-74.129539507, 4.688448058000005], [-74.13112823799997, 4.689619986000025], [-74.13159161300001, 4.689002424000023], [-74.13303072100001, 4.687134060000005], [-74.13343222100002, 4.686612750999984], [-74.13420234799997, 4.6855142], [-74.134207135, 4.68550819699999], [-74.13421480699998, 4.685497321000013], [-74.13422445100002, 4.685484399000017], [-74.134377406, 4.685281792000012], [-74.13445208799999, 4.685172614999999], [-74.13446856000002, 4.685153689000003], [-74.13451276299998, 4.685094086999981], [-74.13479621900001, 4.684727502999976], [-74.13503434299997, 4.68440886899998], [-74.13513105999999, 4.684187688999998], [-74.13488091400001, 4.683935496000003], [-74.13490941999999, 4.68391614699999], [-74.13530253599998, 4.683561641999972], [-74.135634977, 4.683280862999993], [-74.13581326899998, 4.683123383000008], [-74.13653879600002, 4.683707927], [-74.13761561400003, 4.684546711999985], [-74.139293103, 4.685853157999986], [-74.13969944000002, 4.686063473999979], [-74.13977334600003, 4.685986921999983], [-74.14015272300003, 4.686309594000022], [-74.14039245499998, 4.686513409999975], [-74.14050964699999, 4.68661291699999], [-74.14129902000002, 4.687267158999986], [-74.14389435499999, 4.689215407000006], [-74.144746801, 4.689855098999999], [-74.14558552199998, 4.690484760999993], [-74.14570637600002, 4.690575016000025], [-74.15176040799997, 4.695119556000008], [-74.15189491799998, 4.695217083999978], [-74.15186605899999, 4.695243284000014], [-74.15349214700001, 4.696430062999979], [-74.15350981400002, 4.696442563000005], [-74.15487540200002, 4.697471784000015], [-74.15493121899999, 4.697417052999981], [-74.15587039799999, 4.696792624000011], [-74.155968729, 4.696808300999975], [-74.15611330500002, 4.696831675999988], [-74.15613695600001, 4.6968352779999805], [-74.15588440599998, 4.696990008], [-74.15780768899998, 4.699463906000005], [-74.159598904, 4.698140534000003], [-74.16025014000002, 4.699136770999984], [-74.15873441999997, 4.700307812999994], [-74.16003695699999, 4.7013137210000195], [-74.160827982, 4.701924862999987], [-74.16223371400002, 4.70301049599999], [-74.16474527399998, 4.705634221000025], [-74.16471071400002, 4.70565314800001], [-74.16448751399997, 4.705716779999988], [-74.16430520799997, 4.705768760000012], [-74.163678049, 4.705813472999977], [-74.16311346499998, 4.705813481000007], [-74.16256218299998, 4.705834039000023], [-74.16223691900001, 4.705859466999982], [-74.16185386400002, 4.705820347999974], [-74.16157442500003, 4.705981507999979], [-74.16151339999999, 4.706134614000006], [-74.16156964200002, 4.706304595999995], [-74.16169127500001, 4.706423449999988], [-74.16134637099998, 4.706379527000024], [-74.16002374700003, 4.703758602999982], [-74.158350982, 4.705034022999996], [-74.15764188399999, 4.70409865900001], [-74.15411973300002, 4.706375125000022], [-74.155250034, 4.707897488000014], [-74.15524003899998, 4.707911613000021], [-74.15488183299999, 4.708411110999975], [-74.15458352799999, 4.709264772999972], [-74.15458029000001, 4.709264350000012], [-74.15395636400001, 4.709200297999984], [-74.152559854, 4.708320506999996], [-74.15229202500001, 4.708487241999989], [-74.15384916199997, 4.70951738399998], [-74.15447470700002, 4.709581436000007], [-74.15447674799998, 4.709581436000007], [-74.15436391600002, 4.710018929], [-74.15434540500002, 4.710472525], [-74.15463935399998, 4.713631238000004], [-74.15493485100001, 4.71476843900001], [-74.15508626100001, 4.715655148999985], [-74.15512321699998, 4.716754073999993], [-74.15507584599999, 4.716709372000025], [-74.154214911, 4.7161316980000265], [-74.15386598999999, 4.715373940999995], [-74.15215947399997, 4.714089707000027], [-74.150392001, 4.714028402999986]], [[-74.12848030599997, 4.689115102000016], [-74.12868303099998, 4.688788842000008], [-74.128748917, 4.688688916999979], [-74.12864573299998, 4.688607911000019], [-74.12871717899998, 4.688504383999998], [-74.12864573799999, 4.688438351000002], [-74.12870395200002, 4.6883457000000135], [-74.12857022100002, 4.688244141999973], [-74.12843570400003, 4.688452396999991], [-74.12837150799999, 4.688555924000013], [-74.12825664000002, 4.688483464], [-74.128194414, 4.688601044999984], [-74.128299217, 4.688670752000007], [-74.128208836, 4.688798077000001], [-74.128122115, 4.688917704999994], [-74.12771620799998, 4.688582949000021], [-74.127299461, 4.688240070999995], [-74.12722358600001, 4.688174391000018], [-74.127203103, 4.688211041999977], [-74.127320715, 4.688306524999973], [-74.12769692, 4.688615574999971], [-74.12805588200001, 4.688908028000014], [-74.12838591500002, 4.689177527000026], [-74.128664146, 4.689405571000008], [-74.12872918699998, 4.689307692999989], [-74.12848030599997, 4.689115102000016]], [[-74.12927286899998, 4.68885531699999], [-74.12918819599997, 4.688803760999974], [-74.12898617500002, 4.689129244000014], [-74.128825543, 4.689383048000024], [-74.12890986500003, 4.68945352999998], [-74.12913793000001, 4.689094997999973], [-74.12928251099999, 4.688864145000025], [-74.12927286899998, 4.68885531699999]]]]"
AGUALINDA-USME,2,1,0,1,0,0,0,0,"[[[-74.12073893899998, 4.474162029000012], [-74.12074547999998, 4.474215135999998], [-74.12104923599998, 4.474487463000002], [-74.12106577200001, 4.474509567999973], [-74.12106576600002, 4.474658367000017], [-74.120332378, 4.475449358999981], [-74.11979248199998, 4.475017133999983], [-74.11980044, 4.47484940999999], [-74.11969961300002, 4.474705409000023], [-74.119731494, 4.474601386000017], [-74.11976766700002, 4.474479567000003], [-74.11980665499999, 4.474347790000024], [-74.119857819, 4.474182962999975], [-74.12007552099999, 4.474397872999986], [-74.120370621, 4.474690538999993], [-74.12049011099998, 4.474484543000016], [-74.12067061300002, 4.474164213999984], [-74.12073893899998, 4.474162029000012]]]"
AGUAS CLARAS-ENGATIVÁ,5,2,0,0,2,0,1,0,"[[[-74.10048790100001, 4.696503056999972], [-74.10079704100002, 4.696109026999977], [-74.10107344900001, 4.695753305999971], [-74.101383973, 4.695375263000016], [-74.10144805200002, 4.695297252999978], [-74.10169718200001, 4.694979839999973], [-74.101933583, 4.694664250000016], [-74.10225521199999, 4.694244391999973], [-74.10258368299998, 4.6938325039999995], [-74.10269939199998, 4.693716428000016], [-74.10288968200001, 4.693488695999974], [-74.10298700300001, 4.693565617999979], [-74.103564527, 4.694017071000018], [-74.10381945199998, 4.69422429399998], [-74.10407399899998, 4.694431210000004], [-74.102785961, 4.696028549000004], [-74.10257130500003, 4.696298436999995], [-74.10255709699999, 4.696316299999978], [-74.10227409100003, 4.696660927999971], [-74.10227177899998, 4.696663742999987], [-74.10198493600001, 4.6970127160000175], [-74.10163544199997, 4.697436689000028], [-74.10163523599999, 4.697436526999979], [-74.10105621299999, 4.696979833999989], [-74.10062203400003, 4.696628228999998], [-74.10048790100001, 4.696503056999972]]]"
AGUAS CLARAS-SAN CRISTÓBAL,34,3,4,4,8,9,3,3,"[[[-74.067989479, 4.5637580970000045], [-74.06796562, 4.563660801000025], [-74.067520022, 4.56325052599999], [-74.067485831, 4.563238628000021], [-74.06736867799998, 4.5628923310000005], [-74.06728924599997, 4.562596125000027], [-74.06715685199998, 4.562174599000002], [-74.06702444199999, 4.561889779000011], [-74.06700555100002, 4.561642946000006], [-74.06709264300002, 4.561160689000018], [-74.067141875, 4.560834118999991], [-74.06720244899998, 4.560602485999993], [-74.06725167399998, 4.560336673999984], [-74.06730089899997, 4.560074661999976], [-74.06739932900001, 4.559717718000001], [-74.06744097900003, 4.559508866999976], [-74.06747504499998, 4.559425329000021], [-74.06764913699999, 4.559239278000006], [-74.06775510400001, 4.559136760000001], [-74.06779484200001, 4.559066995000023], [-74.06781566299998, 4.559030441000004], [-74.06776778199998, 4.558978374999981], [-74.06812282300001, 4.558410067000011], [-74.067771306, 4.558254149999982], [-74.06792666299998, 4.5580203549999965], [-74.06807776699998, 4.557794725000007], [-74.06876441200001, 4.558075111999983], [-74.06867473, 4.558248849999984], [-74.06854175500001, 4.558487737000007], [-74.06849537099998, 4.558552885999972], [-74.06887254999998, 4.558701857000016], [-74.06906113999997, 4.5587887529999875], [-74.06888485899998, 4.55921689500002], [-74.06858486499999, 4.5599770050000075], [-74.06843332099999, 4.560377227000003], [-74.06849205399999, 4.560473415999979], [-74.06850750199999, 4.560563393999984], [-74.06864971800002, 4.560619257999974], [-74.0686033, 4.560972951999986], [-74.06854902399999, 4.561408266], [-74.06891447700002, 4.561440667999988], [-74.06890651200001, 4.561647859000004], [-74.06898591200002, 4.561735526999996], [-74.06886677900002, 4.561878951999972], [-74.06926378200001, 4.5623172890000205], [-74.06908233899998, 4.562589480999975], [-74.06910300499999, 4.562913933000004], [-74.069098812, 4.562981139999976], [-74.06914899600002, 4.563367588999995], [-74.06911130600002, 4.563518801999975], [-74.06906524499999, 4.563661613000022], [-74.069031736, 4.563863232000017], [-74.06909451400003, 4.563943048999988], [-74.06868850299998, 4.563821186999973], [-74.06838713100001, 4.563766545000021], [-74.06810249699998, 4.563753909000013], [-74.067989479, 4.5637580970000045]]]"
ALAMEDA DEL SUR-RAFAEL URIBE,43,3,7,7,6,6,9,5,"[[[-74.114053818, 4.567853480999986], [-74.113721489, 4.567987318000007], [-74.11338834700001, 4.568126815000027], [-74.11338647999997, 4.56812176599999], [-74.11325062399999, 4.568172182000012], [-74.113117611, 4.567853173000003], [-74.11296039299998, 4.567463948000011], [-74.11315726200002, 4.567332845999999], [-74.11351011400001, 4.567111570999998], [-74.11367530299998, 4.567258428000002], [-74.113662852, 4.567300541999998], [-74.11365694800003, 4.567326207999997], [-74.11376535699998, 4.567425727999989], [-74.11398284699999, 4.567793567000023], [-74.11402916600002, 4.567844094999998], [-74.114053818, 4.567853480999986]]]"
ALAMEDA-ENGATIVÁ,43,4,6,4,5,7,10,7,"[[[-74.12730923999999, 4.6969117419999975], [-74.127145934, 4.6970574779999765], [-74.12670019299998, 4.697460991000014], [-74.12605943699998, 4.698056655000016], [-74.12546743399997, 4.698606899000026], [-74.12513138499997, 4.698909097000012], [-74.12472223700001, 4.698482840999986], [-74.12441929599999, 4.698154413999986], [-74.12486504100002, 4.697728193999978], [-74.125556292, 4.697052176999989], [-74.12605252999998, 4.696575296999981], [-74.12640076399998, 4.696224230999973], [-74.12730923999999, 4.6969117419999975]]]"
ALAMEDAS DE TIMIZA II-KENNEDY,13,1,1,5,3,1,2,0,"[[[-74.14648034200002, 4.607476881000025], [-74.14719326599999, 4.607113697999977], [-74.148358073, 4.60654581], [-74.14827611499999, 4.6063446850000105], [-74.148524533, 4.606174549000002], [-74.14935774499997, 4.606139349999978], [-74.149084937, 4.606621083999982], [-74.14846312700001, 4.6077190959999825], [-74.14842275400002, 4.607769462000021], [-74.14836565000002, 4.607778789000008], [-74.146826659, 4.608038302000011], [-74.14648034200002, 4.607476881000025]]]"
ALAMOS NORTE-ENGATIVÁ,257,25,50,29,34,39,46,34,"[[[-74.11821789200002, 4.7069761569999855], [-74.118148383, 4.706917207999993], [-74.11812118799998, 4.706897518000005], [-74.11779161099997, 4.706658888999982], [-74.11766390700001, 4.706502274999991], [-74.11745511700002, 4.706307014000003], [-74.11743079399997, 4.706243961999973], [-74.11719362299999, 4.706077172999982], [-74.116940236, 4.705892077999976], [-74.116555086, 4.705597146999991], [-74.11636595200002, 4.705447623999987], [-74.11635440399999, 4.705438495000009], [-74.116277863, 4.705369275999999], [-74.11632441299997, 4.705310124999982], [-74.11626545600001, 4.70525408200001], [-74.115921023, 4.705026788999987], [-74.11547300500001, 4.704581537000024], [-74.11544790800002, 4.704545984999981], [-74.11534013300002, 4.704491172000018], [-74.115146729, 4.704381547000025], [-74.115217605, 4.704242309999983], [-74.11516002500002, 4.704226012999981], [-74.11495923899997, 4.704116386999999], [-74.11486475200002, 4.704063055999995], [-74.114807171, 4.704094159000021], [-74.11464477099997, 4.70400231100001], [-74.11449418199999, 4.703919351000024], [-74.11450747200001, 4.703877874999989], [-74.114486806, 4.7038156610000215], [-74.114222536, 4.703677887000026], [-74.11409556799998, 4.703624553999986], [-74.11379734299999, 4.703464558000007], [-74.113809156, 4.703429008999989], [-74.113770773, 4.703372716999979], [-74.11347254700001, 4.703211239999973], [-74.11343563399998, 4.703269008000006], [-74.11313593300002, 4.703097162000005], [-74.11304144899998, 4.703009762000022], [-74.113138902, 4.702834977000009], [-74.11331165899998, 4.702510585000027], [-74.11352133100002, 4.702118057999996], [-74.11377087, 4.701657393999994], [-74.11397906399998, 4.701261902999988], [-74.114173279, 4.701320907000024], [-74.115085368, 4.701594616000022], [-74.11563305700003, 4.7017566540000075], [-74.11616983800002, 4.701918689000024], [-74.11648186899998, 4.7020106539999915], [-74.116641157, 4.70207196199999], [-74.11698591800001, 4.702185824000025], [-74.117086288, 4.702279966999981], [-74.11734206699998, 4.702474710999979], [-74.11775343, 4.702787913999998], [-74.11813580699999, 4.703089377000026], [-74.11811369700001, 4.703118223999979], [-74.11852787700002, 4.703480462000015], [-74.118575453, 4.703514159000008], [-74.119219139, 4.7035450779999906], [-74.12003074400002, 4.703587234999986], [-74.12054289399998, 4.703606913999976], [-74.12111662000001, 4.703553591999991], [-74.12080314500002, 4.704115152999975], [-74.12049806499999, 4.704696371000011], [-74.12042292699999, 4.7048395890000165], [-74.12033602499997, 4.7050052280000045], [-74.12033013199999, 4.705016461000013], [-74.120139806, 4.705387093000013], [-74.12001351100002, 4.705656003000001], [-74.11997888600001, 4.705745509999985], [-74.11986436500001, 4.705909825999981], [-74.11979778300002, 4.706008682000003], [-74.11969391500003, 4.706163646999982], [-74.11956341299998, 4.70635200800001], [-74.11952143500002, 4.70641595699999], [-74.119491503, 4.706461552999996], [-74.119398289, 4.7065911349999965], [-74.11932638000002, 4.706698007], [-74.11922251099998, 4.706850298999995], [-74.11912796299998, 4.706986561000007], [-74.11908146399998, 4.707053572000006], [-74.11901499499999, 4.70715039700002], [-74.11893304799997, 4.707269143000019], [-74.11881194699998, 4.707445436999989], [-74.118534265, 4.707244460000026], [-74.11827565800002, 4.707025145999978], [-74.118270612, 4.7070208659999935], [-74.11821789200002, 4.7069761569999855]]]"
ALASKA-SUBA,18,1,4,2,4,2,2,3,"[[[-74.09085955699999, 4.7584501349999755], [-74.09093549400001, 4.758378686000014], [-74.09106338700002, 4.758255019999978], [-74.09129080899999, 4.758035112000015], [-74.09146152599999, 4.757874577999984], [-74.09147689500003, 4.757877269000005], [-74.09168890699999, 4.757999594000011], [-74.09186261299999, 4.758063096], [-74.09184846199997, 4.758102199000006], [-74.09159905500002, 4.758343430000024], [-74.09135902399998, 4.758574239999973], [-74.090983408, 4.758943537999982], [-74.090783257, 4.759145563000004], [-74.090589905, 4.759333517000015], [-74.090328522, 4.759586115999979], [-74.09016739600003, 4.759740549000014], [-74.09007287899999, 4.759644531999981], [-74.08983874400002, 4.75940572799999], [-74.09041405900001, 4.758869306000008], [-74.09085955699999, 4.7584501349999755]]]"
ALASKA-USME,21,3,3,4,4,3,3,1,"[[[-74.11298707100002, 4.530842233999976], [-74.11083000899998, 4.530448540000009], [-74.110731139, 4.5304224760000125], [-74.11070531299998, 4.530415693999998], [-74.11064374, 4.530399448000025], [-74.110626287, 4.530409615999985], [-74.10929977299998, 4.529582425000001], [-74.108152706, 4.528767318999996], [-74.10842257600001, 4.528818747999992], [-74.10884247500002, 4.528889466000009], [-74.10918644399999, 4.528948878999983], [-74.109708098, 4.529032384999993], [-74.110310325, 4.529148168000006], [-74.11159148500002, 4.529375995000009], [-74.11199104600001, 4.529476583000018], [-74.11215303799997, 4.529516917000023], [-74.11227215100001, 4.529948981000018], [-74.11374415900002, 4.530178087000024], [-74.11381136400001, 4.530189672999995], [-74.11372872499999, 4.530592489000014], [-74.11369310200001, 4.530881750999981], [-74.11368345800003, 4.530952651999996], [-74.1130243, 4.53077698200002], [-74.11298707100002, 4.530842233999976]]]"
ALCALA-PUENTE ARANDA,143,12,22,22,21,18,21,27,"[[[-74.122933924, 4.603572335000023], [-74.12272181100002, 4.603420479000021], [-74.12376405399999, 4.602404611999986], [-74.12405279400002, 4.602123177000009], [-74.126055512, 4.600143262000017], [-74.12640402400001, 4.599798500000019], [-74.12650710700001, 4.599631041000009], [-74.126566013, 4.599483282999983], [-74.12677849900001, 4.599666055999989], [-74.12680651800002, 4.599690156000008], [-74.12725807499999, 4.600153158000011], [-74.128666743, 4.601601264000009], [-74.12921828499998, 4.602168244999973], [-74.12947169900002, 4.60242875199998], [-74.129981939, 4.602940787000022], [-74.12995754600001, 4.602962932000025], [-74.12950828700002, 4.603387843999996], [-74.128930142, 4.603966096000021], [-74.12835199599999, 4.604511091000006], [-74.12771861200002, 4.6051170520000255], [-74.126956339, 4.605861570999991], [-74.12631908999998, 4.606481097000028], [-74.12537761599998, 4.60545857400001], [-74.12487534500002, 4.604930692999971], [-74.124790501, 4.604865984000014], [-74.12434931199999, 4.604528817000016], [-74.12419319899999, 4.604409615999998], [-74.122933924, 4.603572335000023]]]"
ALEJANDRIA-ENGATIVÁ,1,0,0,1,0,0,0,0,"[[[-74.08115426, 4.689389747000007], [-74.08137893100002, 4.689205053000023], [-74.08160539800002, 4.689043941000022], [-74.08186068200001, 4.688846162000004], [-74.082224688, 4.6885255500000085], [-74.082529448, 4.688270094000017], [-74.08256958300001, 4.688321604999998], [-74.083412367, 4.689403255999991], [-74.084091451, 4.690246763999994], [-74.08397747599997, 4.6902714419999825], [-74.08380542200001, 4.690304083], [-74.08312495899997, 4.690411320999999], [-74.08240109500002, 4.690515442999981], [-74.08209728999998, 4.690549625000016], [-74.08171758600002, 4.690075265000018], [-74.08135338099999, 4.689621122999994], [-74.08115426, 4.689389747000007]]]"
ALFEREZ REAL-KENNEDY,8,0,1,1,2,3,0,1,"[[[-74.131280876, 4.614047396999978], [-74.13083622099998, 4.614277782999977], [-74.13086180599998, 4.614326356999981], [-74.13064950699999, 4.614427224999985], [-74.13014103900002, 4.61469602599999], [-74.12973362399998, 4.614921997999999], [-74.12952905700001, 4.615028950999999], [-74.12945241099999, 4.615067113000009], [-74.12919778499997, 4.615193891999979], [-74.12911004799997, 4.614959102], [-74.12906729000002, 4.614866509000023], [-74.12898402500002, 4.614649707000012], [-74.12879995899999, 4.614116786000011], [-74.12905916900002, 4.6140119089999985], [-74.12969880499998, 4.613739260999977], [-74.12984512700001, 4.613667952000014], [-74.12997454200001, 4.613611502000026], [-74.13004003399999, 4.613561249999975], [-74.13006278400002, 4.613601065000011], [-74.13007530800002, 4.613593920000028], [-74.13033283599998, 4.613339627000016], [-74.13050791199998, 4.613654451000002], [-74.13089032800002, 4.61344600000001], [-74.130955858, 4.613409015999991], [-74.13104595499999, 4.61358573199999], [-74.131280876, 4.614047396999978]]]"
ALFONSO LOPEZ SECTOR BUENOS AIRES-USME,12,2,1,0,5,0,2,2,"[[[-74.10343658800002, 4.496958322000011], [-74.103419347, 4.49695514199999], [-74.10342237499998, 4.496935651000001], [-74.103422938, 4.496931909000011], [-74.10358316000003, 4.495979949999991], [-74.103945769, 4.49382568499999], [-74.10394893699998, 4.493806547000019], [-74.10400586399999, 4.493813401000011], [-74.10404625500001, 4.493818276000013], [-74.10415412700002, 4.493831208000017], [-74.104243634, 4.493839757999978], [-74.10430576800002, 4.493845695000004], [-74.10434700299999, 4.493853888999979], [-74.104357628, 4.493855939000013], [-74.10448872199999, 4.493866116999981], [-74.10462121699999, 4.493983567999976], [-74.10522321899998, 4.494923502000006], [-74.10542459099997, 4.495232905000023], [-74.10548179400001, 4.495320761000016], [-74.10565551899998, 4.495512154999971], [-74.105734531, 4.495699870000009], [-74.10575859199997, 4.495757003999983], [-74.10581712300001, 4.495986737999999], [-74.10581860000002, 4.495992670000021], [-74.10582767400001, 4.496054180999976], [-74.10584778999998, 4.49620799500002], [-74.10586889400003, 4.496284549999984], [-74.105926238, 4.496371982000027], [-74.10606161999999, 4.496466552000015], [-74.10632097500002, 4.496782031999998], [-74.106347642, 4.496822994000012], [-74.10655091500001, 4.497135505000017], [-74.10661895300001, 4.49726022499999], [-74.10672125899998, 4.497396884000011], [-74.10678641300001, 4.497484951999979], [-74.10673610100002, 4.497471389999987], [-74.10672660199998, 4.497470329000009], [-74.10665081600001, 4.4974566239999945], [-74.106370825, 4.4974102790000074], [-74.105969029, 4.4973499430000174], [-74.10556476900001, 4.497290736000024], [-74.104798894, 4.497164203000011], [-74.103861956, 4.497018589999981], [-74.10343658800002, 4.496958322000011]]]"
ALFONSO LOPEZ SECTOR CHARALA-USME,17,0,4,2,2,5,2,2,"[[[-74.10773562399999, 4.500568107999981], [-74.10750538899998, 4.500433983999983], [-74.107258119, 4.500362642000027], [-74.10685449200002, 4.500297079000006], [-74.10657549400003, 4.5001067379999995], [-74.10635187100002, 4.499989281000011], [-74.10605358999999, 4.499852540000006], [-74.105581857, 4.499639375000015], [-74.10542099700001, 4.499614717999975], [-74.10541979999999, 4.499613870000018], [-74.10549179200001, 4.4995337209999775], [-74.10565787399997, 4.499344043999997], [-74.10587399000002, 4.499102675000017], [-74.10593950499998, 4.499048442999992], [-74.10608235400002, 4.499020062999989], [-74.10615701799998, 4.498963217999971], [-74.10635645000002, 4.4988186699999915], [-74.10642076900001, 4.498777361000009], [-74.10656017500003, 4.498669249999977], [-74.10661970899997, 4.498631611999996], [-74.10668691400002, 4.498582182000006], [-74.10689598599998, 4.49843487999999], [-74.10698577900001, 4.498383686000011], [-74.10705382700002, 4.498339977], [-74.10712792800001, 4.498295701000017], [-74.10725410200001, 4.498220921999973], [-74.10731448000001, 4.49818533299998], [-74.10733340799999, 4.498214077], [-74.107437189, 4.49837961899999], [-74.10749340799998, 4.498469381000006], [-74.10753752400001, 4.498542971000006], [-74.107555677, 4.498577011000009], [-74.10757446399998, 4.498604483999997], [-74.10773010100002, 4.498857457999974], [-74.10785267199998, 4.499038184000028], [-74.10789460500001, 4.499118624000004], [-74.10806558299998, 4.499390313999981], [-74.10853842699998, 4.499869859], [-74.10880932200001, 4.500242329999991], [-74.10883036000001, 4.5002774999999815], [-74.10885111599998, 4.500312387999997], [-74.10887215399998, 4.500347206000014], [-74.10889319199998, 4.500381951999997], [-74.10890993800001, 4.50040928300001], [-74.10891430100003, 4.5004165579999835], [-74.10893562000001, 4.500451164000026], [-74.10895708100003, 4.50048584000001], [-74.108984029, 4.500516844000003], [-74.10901301799998, 4.500561265999977], [-74.109030609, 4.500588315000015], [-74.10906431199999, 4.500639798999998], [-74.10907472500003, 4.500655902000005], [-74.10907760999999, 4.500660633999984], [-74.10869584599999, 4.500928898999973], [-74.10836061100002, 4.500940177000018], [-74.10791758599999, 4.500740715999995], [-74.10773562399999, 4.500568107999981]]]"
